"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"830","sub-010",1,"Courage","Abstract","Old",1,878.288274803716
"2113","sub-010",2,"Peace","Abstract","New",1,535.300178444212
"689","sub-010",3,"Integrity","Concrete","Old",1,506.543987853691
"239","sub-010",4,"Ambition","Abstract","Old",1,342.279302516312
"139","sub-010",5,"Loyalty","Abstract","Old",1,823.672069148906
"899","sub-010",6,"Window","Concrete","New",1,761.520122681869
"359","sub-010",7,"Bridge","Abstract","Old",1,622.155783757603
"209","sub-010",8,"Success","Abstract","New",1,648.50551479221
"349","sub-010",9,"Apple","Abstract","New",1,808.01789936855
"579","sub-010",10,"Trust","Concrete","New",1,655.52369543272
"909","sub-010",11,"Chair","Concrete","New",1,425.575013712148
"969","sub-010",12,"Phone","Concrete","New",0,712.338886593132
"409","sub-010",13,"Chair","Abstract","New",1,369.521270788055
"2211","sub-010",14,"Humility","Abstract","Old",1,418.342638169883
"399","sub-010",15,"Window","Abstract","New",1,752.532429433193
"979","sub-010",16,"Hospital","Concrete","Old",0,376.371591474475
"889","sub-010",17,"River","Concrete","New",1,398.663807539634
"6113","sub-010",18,"Freedom","Concrete","Old",1,289.167113105335
"9113","sub-010",19,"Shoe","Concrete","Old",1,268.687898339727
"709","sub-010",20,"Success","Concrete","New",1,657.10222575243
"789","sub-010",21,"School","Concrete","Old",1,823.975754214949
"809","sub-010",22,"Garden","Concrete","Old",1,600.273475180489
"509","sub-010",23,"Park","Abstract","New",0,651.783172370643
"749","sub-010",24,"Justice","Concrete","New",1,597.64843130103
"799","sub-010",25,"Boat","Concrete","New",1,671.798389119131
"1113","sub-010",26,"Freedom","Abstract","Old",1,522.383115384132
"489","sub-010",27,"Road","Abstract","New",0,853.113716775385
"189","sub-010",28,"Integrity","Abstract","Old",1,750.427903084962
"8211","sub-010",29,"Computer","Concrete","Old",1,453.988235489776
"149","sub-010",30,"Creativity","Abstract","Old",1,485.879734432227
"439","sub-010",31,"Wisdom","Abstract","Old",1,597.35512649513
"930","sub-010",32,"Generosity","Abstract","New",1,639.889691203357
"249","sub-010",33,"Justice","Abstract","New",1,274.279639801595
"5210","sub-010",34,"Gratitude","Concrete","Old",1,785.764654611251
"339","sub-010",35,"Dog","Abstract","Old",1,350.172381234588
"109","sub-010",36,"Knowledge","Abstract","Old",1,523.158254172144
"379","sub-010",37,"Lamp","Abstract","New",1,387.072251455656
"659","sub-010",38,"Respect","Concrete","New",1,500.238063263153
"3113","sub-010",39,"Table","Abstract","Old",1,420.355763818424
"6211","sub-010",40,"Friendship","Concrete","New",1,669.981696581378
"879","sub-010",41,"Lamp","Concrete","New",1,576.211756892267
"130","sub-010",42,"Compassion","Abstract","Old",1,802.203987046403
"389","sub-010",43,"River","Abstract","New",1,751.849431086445
"849","sub-010",44,"Apple","Concrete","New",1,502.33616614063
"539","sub-010",45,"Honesty","Concrete","New",1,625.202534864451
"589","sub-010",46,"Courage","Concrete","Old",1,476.674178494275
"449","sub-010",47,"Mountain","Abstract","Old",1,128.159925810233
"540","sub-010",48,"Happiness","Abstract","New",1,508.156772628546
"1211","sub-010",49,"Friendship","Abstract","New",1,552.746041604691
"309","sub-010",50,"Garden","Abstract","Old",1,891.83609705412
"609","sub-010",51,"Knowledge","Concrete","Old",1,601.814274225109
"739","sub-010",52,"Ambition","Concrete","Old",1,511.904782087032
"989","sub-010",53,"Road","Concrete","New",0,810.998517061489
"699","sub-010",54,"Determination","Concrete","New",1,481.922154184273
"9211","sub-010",55,"Camera","Concrete","New",0,497.644946922335
"999","sub-010",56,"House","Concrete","Old",0,672.897434297878
"199","sub-010",57,"Determination","Abstract","New",1,408.10226654684
"3210","sub-010",58,"Computer","Abstract","Old",1,978.102279922651
"740","sub-010",59,"Trust","Abstract","New",1,506.054300217651
"649","sub-010",60,"Creativity","Concrete","Old",1,429.738407634012
"8113","sub-010",61,"Table","Concrete","Old",1,243.951528456126
"340","sub-010",62,"Honesty","Abstract","New",1,717.460349905389
"839","sub-010",63,"Dog","Concrete","Old",1,212.893791861981
"7113","sub-010",64,"Peace","Concrete","New",1,834.106885852323
"259","sub-010",65,"Patience","Abstract","New",1,559.22849003374
"959","sub-010",66,"Book","Concrete","New",0,324.787006051084
"289","sub-010",67,"School","Abstract","Old",1,460.786083555881
"779","sub-010",68,"Train","Concrete","New",1,643.199071971691
"5113","sub-010",69,"Compassion","Concrete","Old",1,500.008267668218
"499","sub-010",70,"House","Abstract","Old",0,567.128305684068
"769","sub-010",71,"Beach","Concrete","Old",1,397.639163236427
"630","sub-010",72,"Faith","Abstract","Old",1,410.422337197807
"599","sub-010",73,"Generosity","Concrete","New",1,940.10946738719
"7210","sub-010",74,"Humility","Concrete","Old",1,444.717288032218
"4210","sub-010",75,"Camera","Abstract","New",1,720.588303635768
"459","sub-010",76,"Book","Abstract","New",1,530.207842418666
"869","sub-010",77,"Tree","Concrete","New",1,733.416613538495
"559","sub-010",78,"Happiness","Concrete","New",1,195.790066800087
"479","sub-010",79,"Hospital","Abstract","Old",1,454.637270898424
"159","sub-010",80,"Respect","Abstract","New",1,407.170608797728
"669","sub-010",81,"Love","Concrete","Old",1,548.311265008816
"859","sub-010",82,"Bridge","Concrete","Old",1,251.062817873387
"279","sub-010",83,"Train","Abstract","New",1,501.516627349486
"230","sub-010",84,"Gratitude","Abstract","Old",1,709.837131879529
"679","sub-010",85,"Hope","Concrete","Old",1,538.957111126697
"1009","sub-010",86,"Park","Concrete","New",0,547.198088352061
"569","sub-010",87,"Faith","Concrete","Old",1,560.69562654078
"369","sub-010",88,"Tree","Abstract","New",1,433.531367497635
"549","sub-010",89,"Wisdom","Concrete","Old",1,609.442206216103
"759","sub-010",90,"Patience","Concrete","New",1,505.451480516914
"4113","sub-010",91,"Shoe","Abstract","Old",1,720.097651733748
"639","sub-010",92,"Loyalty","Concrete","Old",1,520.360537220905
"469","sub-010",93,"Phone","Abstract","New",1,482.793858345167
"299","sub-010",94,"Boat","Abstract","New",1,973.264882528417
"169","sub-010",95,"Love","Abstract","Old",1,602.272288099492
"269","sub-010",96,"Beach","Abstract","Old",1,419.088648874335
"939","sub-010",97,"Car","Concrete","New",0,638.755751639313
"949","sub-010",98,"Mountain","Concrete","Old",0,206.790996943522
"179","sub-010",99,"Hope","Abstract","Old",1,637.647767859525
"4310","sub-010",100,"Car","Abstract","New",1,405.787138327578
