"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"188","sub-009",1,"Knowledge","Abstract","New",1,541.105618433179
"498","sub-009",2,"Road","Abstract","New",1,497.249347957394
"408","sub-009",3,"Bridge","Abstract","Old",1,381.715046682742
"198","sub-009",4,"Gratitude","Abstract","New",1,449.204661209078
"378","sub-009",5,"Camera","Abstract","Old",1,429.413432323808
"4112","sub-009",6,"Hospital","Abstract","Old",1,288.505938895617
"6112","sub-009",7,"Determination","Concrete","Old",1,783.836909790274
"629","sub-009",8,"Humility","Abstract","New",1,428.281691881073
"998","sub-009",9,"Road","Concrete","New",0,432.395868947127
"838","sub-009",10,"Garden","Concrete","Old",1,747.340272545563
"698","sub-009",11,"Gratitude","Concrete","New",1,432.62578973721
"929","sub-009",12,"Justice","Abstract","New",1,733.765526822867
"829","sub-009",13,"Loyalty","Abstract","New",1,547.265590249052
"598","sub-009",14,"Justice","Concrete","New",1,621.577880405477
"8112","sub-009",15,"Book","Concrete","Old",1,468.45242754527
"458","sub-009",16,"Phone","Abstract","New",1,671.505665723741
"358","sub-009",17,"Dog","Abstract","Old",1,844.419159105128
"138","sub-009",18,"Happiness","Abstract","New",1,24.3910815300749
"468","sub-009",19,"Beach","Abstract","New",1,232.633436267968
"948","sub-009",20,"Window","Concrete","New",0,446.383860352981
"658","sub-009",21,"Compassion","Concrete","New",1,407.221689013049
"248","sub-009",22,"Love","Abstract","New",1,316.694737553111
"1112","sub-009",23,"Determination","Abstract","Old",1,843.137633740487
"888","sub-009",24,"Tree","Concrete","Old",1,480.016277225437
"798","sub-009",25,"School","Concrete","New",1,594.425694677842
"168","sub-009",26,"Generosity","Abstract","New",1,659.478299283489
"768","sub-009",27,"Park","Concrete","Old",1,615.013923336447
"638","sub-009",28,"Happiness","Concrete","New",1,-114.460642731077
"329","sub-009",29,"Mountain","Abstract","Old",1,291.789810412449
"6210","sub-009",30,"Freedom","Concrete","New",1,445.647766779165
"7112","sub-009",31,"Wisdom","Concrete","Old",1,175.1965775208
"808","sub-009",32,"House","Concrete","New",1,302.274699916723
"158","sub-009",33,"Compassion","Abstract","New",1,353.271964563523
"738","sub-009",34,"Peace","Concrete","Old",1,118.767097184348
"538","sub-009",35,"Faith","Concrete","New",1,419.058337130735
"958","sub-009",36,"Phone","Concrete","New",0,989.870357579882
"398","sub-009",37,"Computer","Abstract","Old",1,513.101761031925
"858","sub-009",38,"Dog","Concrete","Old",1,707.045967381484
"388","sub-009",39,"Tree","Abstract","Old",1,968.511863220844
"448","sub-009",40,"Window","Abstract","New",1,777.148671170075
"8210","sub-009",41,"Mountain","Concrete","Old",1,410.073698331722
"648","sub-009",42,"Integrity","Concrete","New",1,316.180892082797
"708","sub-009",43,"Trust","Concrete","Old",1,309.795246196632
"578","sub-009",44,"Courage","Concrete","New",1,499.894030489154
"288","sub-009",45,"River","Abstract","Old",1,908.569579213847
"268","sub-009",46,"Park","Abstract","Old",1,499.930787037018
"438","sub-009",47,"Shoe","Abstract","Old",1,893.619023392647
"988","sub-009",48,"Train","Concrete","Old",0,675.84869735934
"938","sub-009",49,"Shoe","Concrete","Old",0,417.022533908115
"529","sub-009",50,"Success","Concrete","Old",1,348.140706432083
"898","sub-009",51,"Computer","Concrete","Old",1,317.517938875147
"348","sub-009",52,"Lamp","Abstract","New",1,997.598223139023
"129","sub-009",53,"Ambition","Abstract","Old",1,714.946787143918
"429","sub-009",54,"Table","Abstract","New",1,443.194402389098
"568","sub-009",55,"Humility","Concrete","New",1,739.757179032383
"868","sub-009",56,"Chair","Concrete","New",1,635.966389054912
"488","sub-009",57,"Train","Abstract","Old",1,778.35971078182
"238","sub-009",58,"Peace","Abstract","Old",1,599.281492134425
"530","sub-009",59,"Patience","Abstract","Old",1,550.694955068127
"588","sub-009",60,"Loyalty","Concrete","New",1,398.890236945913
"748","sub-009",61,"Love","Concrete","New",1,1026.78458360558
"729","sub-009",62,"Hope","Concrete","Old",1,356.337013695286
"978","sub-009",63,"Car","Concrete","Old",0,194.439311350819
"229","sub-009",64,"Success","Abstract","Old",1,809.589275298611
"9210","sub-009",65,"Table","Concrete","New",0,405.124558178385
"108","sub-009",66,"Honesty","Abstract","New",1,635.675096105099
"608","sub-009",67,"Honesty","Concrete","New",1,192.906517522971
"508","sub-009",68,"Boat","Abstract","New",0,423.595220559479
"148","sub-009",69,"Integrity","Abstract","New",1,681.836094191238
"778","sub-009",70,"Apple","Concrete","Old",1,259.713499582933
"848","sub-009",71,"Lamp","Concrete","New",1,457.270180065819
"430","sub-009",72,"Respect","Abstract","Old",1,474.056412865192
"258","sub-009",73,"Creativity","Abstract","Old",1,502.99142711613
"908","sub-009",74,"Bridge","Concrete","Old",0,390.400380209875
"1210","sub-009",75,"Freedom","Abstract","New",1,518.194648684242
"338","sub-009",76,"Garden","Abstract","Old",1,550.858554713547
"330","sub-009",77,"Faith","Abstract","New",1,476.756648500509
"2210","sub-009",78,"Hope","Abstract","Old",1,363.238951457205
"3112","sub-009",79,"Book","Abstract","Old",1,318.177174088758
"178","sub-009",80,"Friendship","Abstract","New",1,365.221532693399
"308","sub-009",81,"House","Abstract","New",1,566.236898379816
"678","sub-009",82,"Friendship","Concrete","New",1,474.202046497844
"878","sub-009",83,"Camera","Concrete","Old",1,430.164881207449
"688","sub-009",84,"Knowledge","Concrete","New",1,193.234210634675
"548","sub-009",85,"Respect","Concrete","Old",1,969.006668359222
"758","sub-009",86,"Creativity","Concrete","Old",1,545.649347117448
"1008","sub-009",87,"Boat","Concrete","New",0,771.874491222695
"2112","sub-009",88,"Wisdom","Abstract","Old",1,429.042878238568
