"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"7719","sub-020",1,"Shoe","Concrete","Old",1,624.0577267488
"2719","sub-020",2,"Shoe","Abstract","Old",1,887.316683142611
"8819","sub-020",3,"Camera","Concrete","Old",1,352.164326176837
"8619","sub-020",4,"Dog","Concrete","Old",1,446.064679064006
"2619","sub-020",5,"Chair","Abstract","Old",1,159.695392273489
"6519","sub-020",6,"Happiness","Concrete","New",1,535.172268161916
"2519","sub-020",7,"Freedom","Abstract","Old",1,294.121349066998
"5619","sub-020",8,"Courage","Concrete","New",1,406.755275291357
"4919","sub-020",9,"Table","Abstract","Old",0,504.867867328414
"8123","sub-020",10,"Train","Concrete","Old",1,862.69383827464
"6019","sub-020",11,"Creativity","Concrete","Old",1,290.162525160988
"5919","sub-020",12,"Loyalty","Concrete","Old",1,288.072686529885
"7104","sub-020",13,"Peace","Abstract","Old",1,453.45822907407
"2419","sub-020",14,"Gratitude","Abstract","New",1,216.711191938789
"9123","sub-020",15,"Beach","Concrete","New",0,714.817973054623
"8103","sub-020",16,"Trust","Abstract","New",1,317.769791595094
"8319","sub-020",17,"Window","Concrete","Old",1,439.438510295839
"3519","sub-020",18,"School","Abstract","New",1,599.244835471733
"8919","sub-020",19,"Computer","Concrete","New",1,421.446779927155
"3819","sub-020",20,"Camera","Abstract","Old",1,466.998165977865
"1919","sub-020",21,"Generosity","Abstract","Old",1,728.407427758677
"9619","sub-020",22,"Tree","Concrete","Old",0,779.17334071539
"5220","sub-020",23,"Humility","Concrete","Old",1,360.842560714758
"8519","sub-020",24,"School","Concrete","New",1,223.458934289295
"9519","sub-020",25,"Car","Concrete","New",0,500.493081897744
"4123","sub-020",26,"Beach","Abstract","New",1,545.471625549853
"1103","sub-020",27,"Knowledge","Abstract","New",1,518.094179426148
"9221","sub-020",28,"Road","Concrete","New",0,382.284374202362
"7319","sub-020",29,"Wisdom","Concrete","Old",1,455.404842023978
"6103","sub-020",30,"Courage","Abstract","New",1,491.826422485844
"9719","sub-020",31,"Lamp","Concrete","Old",0,346.602114650298
"5123","sub-020",32,"Knowledge","Concrete","New",1,505.664419415616
"1419","sub-020",33,"Love","Abstract","New",1,569.773229099863
"5019","sub-020",34,"Boat","Abstract","New",0,11.5557462289205
"2319","sub-020",35,"Wisdom","Abstract","Old",1,90.4193551434052
"6619","sub-020",36,"Success","Concrete","New",1,555.038248624079
"6419","sub-020",37,"Love","Concrete","New",1,654.422545422697
"7619","sub-020",38,"Chair","Concrete","Old",1,851.979918412563
"7123","sub-020",39,"Integrity","Concrete","New",1,449.32723102532
"1619","sub-020",40,"Success","Abstract","New",1,446.60019836796
"3319","sub-020",41,"Window","Abstract","Old",1,899.813658119113
"4519","sub-020",42,"Car","Abstract","New",1,152.317592878471
"9103","sub-020",43,"Loyalty","Abstract","Old",1,83.374717716536
"9019","sub-020",44,"Phone","Concrete","New",1,34.2766686847852
"4320","sub-020",45,"River","Abstract","Old",1,507.113047395822
"3719","sub-020",46,"Park","Abstract","New",1,490.03835572772
"8221","sub-020",47,"Book","Concrete","Old",1,151.757241973208
"4619","sub-020",48,"Tree","Abstract","Old",1,427.381612537211
"1221","sub-020",49,"Respect","Abstract","Old",1,581.928105277791
"7419","sub-020",50,"Gratitude","Concrete","New",1,501.523235303049
"1719","sub-020",51,"Honesty","Abstract","New",1,724.892429638555
"5819","sub-020",52,"Trust","Concrete","New",1,608.451765688045
"6819","sub-020",53,"Determination","Concrete","Old",1,909.61284282437
"4103","sub-020",54,"Hope","Abstract","New",1,228.095748224564
"2221","sub-020",55,"Ambition","Abstract","Old",1,297.762948322692
"7220","sub-020",56,"Ambition","Concrete","Old",1,530.225005279064
"2019","sub-020",57,"Justice","Abstract","New",1,1083.90268565933
"7919","sub-020",58,"House","Concrete","New",1,376.07412277269
"9919","sub-020",59,"Table","Concrete","Old",0,800.58926147527
"4220","sub-020",60,"Road","Abstract","New",1,373.932334026744
"4819","sub-020",61,"Garden","Abstract","New",0,392.031968983953
"3220","sub-020",62,"Book","Abstract","Old",1,388.977724938798
"6319","sub-020",63,"Faith","Concrete","New",1,349.609117701561
"2919","sub-020",64,"House","Abstract","New",1,610.55198491039
"3019","sub-020",65,"Mountain","Abstract","New",1,1064.87502736101
"8719","sub-020",66,"Park","Concrete","New",1,421.471228238823
"7819","sub-020",67,"Hospital","Concrete","New",1,583.872180744855
"1819","sub-020",68,"Determination","Abstract","Old",1,573.371742307346
"3919","sub-020",69,"Computer","Abstract","New",1,399.062063657302
"4019","sub-020",70,"Phone","Abstract","New",1,511.050788693494
"2103","sub-020",71,"Humility","Abstract","Old",1,308.55525725977
"4419","sub-020",72,"Apple","Abstract","Old",1,814.61680287694
"1019","sub-020",73,"Creativity","Abstract","Old",1,733.49616029512
"1319","sub-020",74,"Faith","Abstract","New",1,372.223313921165
"2819","sub-020",75,"Hospital","Abstract","New",1,624.661745644155
"5419","sub-020",76,"Hope","Concrete","New",1,217.525281925407
"6221","sub-020",77,"Respect","Concrete","Old",1,160.290761297598
"6123","sub-020",78,"Compassion","Concrete","New",1,379.287618908142
"3619","sub-020",79,"Dog","Abstract","Old",1,407.282281464234
"5104","sub-020",80,"Patience","Abstract","Old",1,687.961500903624
"3123","sub-020",81,"Train","Abstract","Old",1,447.664842566141
"8419","sub-020",82,"Bridge","Concrete","Old",1,398.777212169268
"9819","sub-020",83,"Garden","Concrete","New",0,403.266010584845
"6719","sub-020",84,"Honesty","Concrete","New",1,539.475537186052
"9319","sub-020",85,"River","Concrete","Old",0,574.167517210929
"10019","sub-020",86,"Boat","Concrete","New",0,598.381008404722
"4719","sub-020",87,"Lamp","Abstract","Old",0,319.517222013619
"2123","sub-020",88,"Integrity","Abstract","New",1,794.88804740558
"9419","sub-020",89,"Apple","Concrete","Old",0,520.807104259565
"8019","sub-020",90,"Mountain","Concrete","New",1,591.347825088136
"1519","sub-020",91,"Happiness","Abstract","New",1,732.275090360908
"5319","sub-020",92,"Friendship","Concrete","Old",1,214.125031076323
"5519","sub-020",93,"Patience","Concrete","Old",1,311.680782253544
"3419","sub-020",94,"Bridge","Abstract","Old",1,416.434117280762
"6919","sub-020",95,"Generosity","Concrete","Old",1,307.942969615191
"1123","sub-020",96,"Compassion","Abstract","New",1,549.178186935393
"3104","sub-020",97,"Friendship","Abstract","Old",1,607.602849077158
"7019","sub-020",98,"Justice","Concrete","New",1,346.24442862131
"5719","sub-020",99,"Peace","Concrete","Old",1,645.482662286154
"7519","sub-020",100,"Freedom","Concrete","Old",1,309.032153454194
