"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"825","sub-006",1,"Lamp","Concrete","Old",1,787.239012610703
"105","sub-006",2,"Freedom","Abstract","Old",1,798.635489074258
"875","sub-006",3,"Park","Concrete","New",1,432.014436476195
"418","sub-006",4,"Bridge","Abstract","New",1,298.079142728253
"405","sub-006",5,"Hospital","Abstract","Old",1,693.461622313399
"625","sub-006",6,"Creativity","Concrete","Old",1,376.064025202144
"155","sub-006",7,"Love","Abstract","New",1,959.766127002095
"718","sub-006",8,"Humility","Abstract","New",1,617.890837761888
"665","sub-006",9,"Peace","Concrete","New",1,243.19118374634
"995","sub-006",10,"Garden","Concrete","Old",0,216.535192104185
"175","sub-006",11,"Faith","Abstract","New",1,720.708030922362
"785","sub-006",12,"Tree","Concrete","New",1,459.350135440958
"775","sub-006",13,"Train","Concrete","New",1,471.519291516873
"555","sub-006",14,"Determination","Concrete","New",1,718.990912332282
"265","sub-006",15,"Camera","Abstract","Old",1,353.114466562987
"455","sub-006",16,"Boat","Abstract","New",1,326.039166196446
"605","sub-006",17,"Freedom","Concrete","Old",1,335.604085931634
"445","sub-006",18,"Road","Abstract","New",1,137.192202956178
"225","sub-006",19,"Integrity","Abstract","Old",1,617.185025704862
"525","sub-006",20,"Hope","Concrete","Old",1,870.875311618892
"918","sub-006",21,"Respect","Abstract","Old",1,514.755102982037
"965","sub-006",22,"Book","Concrete","New",0,259.130496013636
"475","sub-006",23,"House","Abstract","Old",1,478.376995935856
"365","sub-006",24,"Phone","Abstract","New",1,242.898944417837
"565","sub-006",25,"Honesty","Concrete","New",1,465.290862978746
"855","sub-006",26,"Mountain","Concrete","New",1,371.287622772197
"985","sub-006",27,"Beach","Concrete","Old",0,555.50024293439
"818","sub-006",28,"Knowledge","Abstract","Old",1,600.095618446778
"145","sub-006",29,"Compassion","Abstract","Old",1,600.251980526772
"165","sub-006",30,"Peace","Abstract","New",1,420.500670952706
"435","sub-006",31,"Apple","Abstract","New",1,410.275106143195
"905","sub-006",32,"Hospital","Concrete","Old",0,346.553893774815
"835","sub-006",33,"Car","Concrete","New",1,66.0883598660528
"725","sub-006",34,"Integrity","Concrete","Old",1,577.267852284169
"695","sub-006",35,"Friendship","Concrete","New",1,585.2083955538
"935","sub-006",36,"Apple","Concrete","New",0,437.65268114796
"925","sub-006",37,"Window","Concrete","Old",0,706.976003444546
"318","sub-006",38,"Happiness","Abstract","New",1,476.404789671909
"595","sub-006",39,"Respect","Concrete","Old",1,890.848692877368
"235","sub-006",40,"Loyalty","Abstract","New",1,377.074212624359
"495","sub-006",41,"Garden","Abstract","Old",0,719.329073244534
"505","sub-006",42,"Computer","Abstract","New",0,408.18636957344
"218","sub-006",43,"Trust","Abstract","Old",1,689.816867192817
"975","sub-006",44,"House","Concrete","Old",0,613.311517194579
"335","sub-006",45,"Car","Abstract","New",1,247.513869085949
"285","sub-006",46,"Tree","Abstract","New",1,301.548640378155
"345","sub-006",47,"Shoe","Abstract","Old",1,478.86010209996
"518","sub-006",48,"Determination","Abstract","New",1,475.45802788472
"245","sub-006",49,"Justice","Abstract","Old",1,438.151062626908
"195","sub-006",50,"Friendship","Abstract","New",1,866.905109928252
"519","sub-006",51,"Courage","Concrete","Old",1,397.769146254934
"125","sub-006",52,"Creativity","Abstract","Old",1,427.576875841018
"465","sub-006",53,"Book","Abstract","New",1,720.707442915007
"805","sub-006",54,"School","Concrete","Old",1,585.178884071618
"635","sub-006",55,"Generosity","Concrete","New",1,840.964169093219
"895","sub-006",56,"Chair","Concrete","Old",0,548.708296190525
"419","sub-006",57,"Wisdom","Abstract","Old",1,749.809824103491
"135","sub-006",58,"Generosity","Abstract","New",1,601.898193141226
"705","sub-006",59,"Success","Concrete","New",1,823.955813646805
"655","sub-006",60,"Love","Concrete","New",1,448.046617311112
"275","sub-006",61,"Train","Abstract","New",1,805.964625500476
"685","sub-006",62,"Patience","Concrete","Old",1,495.377126990185
"425","sub-006",63,"Window","Abstract","Old",1,331.99894461442
"955","sub-006",64,"Boat","Concrete","New",0,481.130837678511
"675","sub-006",65,"Faith","Concrete","New",1,283.904043669446
"118","sub-006",66,"Courage","Abstract","Old",1,306.133299834985
"545","sub-006",67,"Wisdom","Concrete","Old",1,533.766188673839
"219","sub-006",68,"Hope","Abstract","Old",1,566.73469254965
"295","sub-006",69,"Dog","Abstract","New",1,323.076421731433
"735","sub-006",70,"Loyalty","Concrete","New",1,-63.5741561483293
"185","sub-006",71,"Patience","Abstract","Old",1,538.043152276499
"305","sub-006",72,"School","Abstract","Old",1,331.144539400487
"385","sub-006",73,"Table","Abstract","Old",1,520.451142476313
"795","sub-006",74,"Dog","Concrete","New",1,373.163573550137
"618","sub-006",75,"Honesty","Abstract","New",1,783.463818379067
"1005","sub-006",76,"Computer","Concrete","New",0,545.424898322579
"205","sub-006",77,"Success","Abstract","New",1,673.362266300488
"719","sub-006",78,"Trust","Concrete","Old",1,410.930664236858
"355","sub-006",79,"Mountain","Abstract","New",1,574.697270663719
"745","sub-006",80,"Justice","Concrete","Old",1,518.615581602193
"619","sub-006",81,"Ambition","Concrete","Old",1,254.222185283871
"375","sub-006",82,"Park","Abstract","New",1,508.33930252322
"485","sub-006",83,"Beach","Abstract","Old",0,710.684480100888
"119","sub-006",84,"Ambition","Abstract","Old",1,468.773717431546
"945","sub-006",85,"Road","Concrete","New",0,449.956641942675
"395","sub-006",86,"Chair","Abstract","Old",1,767.743807377444
"535","sub-006",87,"Happiness","Concrete","New",1,420.273606385882
"575","sub-006",88,"Humility","Concrete","New",1,519.478583845068
"585","sub-006",89,"Knowledge","Concrete","Old",1,241.806763367306
"255","sub-006",90,"Gratitude","Abstract","New",1,671.529961590357
"755","sub-006",91,"Gratitude","Concrete","New",1,819.60449933896
"765","sub-006",92,"Camera","Concrete","Old",1,591.413601831319
"325","sub-006",93,"Lamp","Abstract","Old",1,778.828937727769
"919","sub-006",94,"Bridge","Concrete","New",0,176.969454306567
"845","sub-006",95,"Shoe","Concrete","Old",1,494.382457386745
"865","sub-006",96,"Phone","Concrete","New",1,434.406227710464
"819","sub-006",97,"River","Concrete","Old",1,577.970970931564
"319","sub-006",98,"River","Abstract","Old",1,578.459271626452
"885","sub-006",99,"Table","Concrete","Old",0,344.186415409929
"645","sub-006",100,"Compassion","Concrete","Old",1,134.926137168184
