"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"990","sub-016",1,"Justice","Abstract","New",1,860.843467484132
"5815","sub-016",2,"Trust","Concrete","New",1,341.429586803184
"9415","sub-016",3,"Hospital","Concrete","New",0,147.637405472998
"1515","sub-016",4,"Freedom","Abstract","Old",1,592.196251385339
"5315","sub-016",5,"Knowledge","Concrete","New",1,760.584650421506
"6415","sub-016",6,"Compassion","Concrete","Old",1,400.68506399138
"3815","sub-016",7,"Window","Abstract","New",1,174.870135654166
"290","sub-016",8,"Friendship","Abstract","New",1,499.099306490472
"8119","sub-016",9,"Train","Concrete","Old",1,561.932996160252
"7915","sub-016",10,"Boat","Concrete","New",1,404.641688289797
"3615","sub-016",11,"Camera","Abstract","New",1,561.090183910062
"2715","sub-016",12,"Dog","Abstract","Old",1,862.032778310817
"1715","sub-016",13,"Creativity","Abstract","New",1,653.486186809081
"3119","sub-016",14,"Train","Abstract","Old",1,527.195613447272
"6119","sub-016",15,"Patience","Concrete","New",1,707.174005040269
"7315","sub-016",16,"Integrity","Concrete","Old",1,221.762035177397
"8515","sub-016",17,"Lamp","Concrete","Old",1,511.941267795009
"690","sub-016",18,"Courage","Abstract","New",1,702.214381441776
"8715","sub-016",19,"Road","Concrete","Old",1,568.400720522769
"8015","sub-016",20,"Garden","Concrete","Old",1,275.247784117325
"190","sub-016",21,"Humility","Abstract","New",1,539.349525939766
"7715","sub-016",22,"Dog","Concrete","Old",1,480.055243096639
"2217","sub-016",23,"Success","Abstract","New",1,536.028652561258
"6815","sub-016",24,"Honesty","Concrete","Old",1,637.279395852247
"6015","sub-016",25,"Gratitude","Concrete","Old",1,833.121495946762
"4015","sub-016",26,"Computer","Abstract","Old",1,304.477325496848
"2315","sub-016",27,"Integrity","Abstract","Old",1,406.741114779635
"6915","sub-016",28,"Wisdom","Concrete","New",1,316.798273294496
"3415","sub-016",29,"Car","Abstract","Old",1,845.644269211975
"5415","sub-016",30,"Determination","Concrete","Old",1,463.028853850916
"6217","sub-016",31,"Happiness","Concrete","Old",1,294.840548881811
"3015","sub-016",32,"Garden","Abstract","Old",1,802.639104686485
"1815","sub-016",33,"Honesty","Abstract","Old",1,626.131181830932
"2615","sub-016",34,"Apple","Abstract","New",1,904.494993325289
"3315","sub-016",35,"Chair","Abstract","Old",1,684.920425432027
"490","sub-016",36,"Determination","Abstract","Old",1,460.28604436847
"9015","sub-016",37,"Computer","Concrete","Old",1,569.456121351258
"9815","sub-016",38,"Park","Concrete","Old",0,692.140950436783
"4915","sub-016",39,"Table","Abstract","Old",1,728.656064307652
"10015","sub-016",40,"Phone","Concrete","Old",0,359.940190536387
"9119","sub-016",41,"Tree","Concrete","New",0,651.082511453362
"4815","sub-016",42,"Park","Abstract","Old",1,486.419548142245
"1119","sub-016",43,"Patience","Abstract","New",1,896.619286821154
"5715","sub-016",44,"Peace","Concrete","Old",1,757.56177310889
"2015","sub-016",45,"Ambition","Abstract","Old",1,493.251903332307
"5915","sub-016",46,"Justice","Concrete","New",1,305.331957261328
"7119","sub-016",47,"Hope","Concrete","New",1,728.384013044247
"4715","sub-016",48,"House","Abstract","New",1,569.345113097921
"7015","sub-016",49,"Ambition","Concrete","Old",1,744.130742180099
"8615","sub-016",50,"Camera","Concrete","New",1,508.29576113419
"1217","sub-016",51,"Happiness","Abstract","Old",1,659.693644594219
"7515","sub-016",52,"Love","Concrete","New",1,513.657270480846
"2815","sub-016",53,"Shoe","Abstract","New",1,478.080048904555
"1615","sub-016",54,"Loyalty","Abstract","Old",1,848.28565256838
"1915","sub-016",55,"Wisdom","Abstract","New",1,651.569142874747
"6615","sub-016",56,"Loyalty","Concrete","Old",1,740.802423702258
"1415","sub-016",57,"Compassion","Abstract","Old",1,491.007694145822
"890","sub-016",58,"Trust","Abstract","New",1,414.567091542234
"9915","sub-016",59,"Table","Concrete","Old",0,57.3795409267626
"4316","sub-016",60,"Bridge","Abstract","New",1,539.891393499367
"5515","sub-016",61,"Respect","Concrete","Old",1,690.321829905276
"5216","sub-016",62,"Friendship","Concrete","New",1,563.777280999823
"3715","sub-016",63,"Road","Abstract","Old",1,534.520937093068
"6315","sub-016",64,"Generosity","Concrete","Old",1,550.596926712936
"8315","sub-016",65,"Chair","Concrete","Old",1,489.227525332545
"8217","sub-016",66,"Book","Concrete","New",1,453.56765487568
"3515","sub-016",67,"Lamp","Abstract","Old",1,382.321364842376
"4415","sub-016",68,"Hospital","Abstract","New",1,958.464134561629
