"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"592","sub-003",1,"Freedom","Concrete","Old",1,435.126538386518
"892","sub-003",2,"Garden","Concrete","New",1,521.211385144558
"272","sub-003",3,"Camera","Abstract","New",1,498.159910571328
"712","sub-003",4,"Happiness","Abstract","New",1,258.695627399949
"572","sub-003",5,"Happiness","Concrete","New",1,564.382495236652
"192","sub-003",6,"Loyalty","Abstract","New",1,780.287633007295
"802","sub-003",7,"Book","Concrete","Old",1,373.030151118778
"713","sub-003",8,"Determination","Concrete","New",1,688.2342608863
"882","sub-003",9,"Hospital","Concrete","Old",1,441.199314101809
"362","sub-003",10,"School","Abstract","Old",1,567.934995943348
"732","sub-003",11,"Gratitude","Concrete","New",1,557.370189735198
"722","sub-003",12,"Respect","Concrete","New",1,535.85689496234
"512","sub-003",13,"Patience","Abstract","New",1,862.9733308994
"182","sub-003",14,"Peace","Abstract","New",1,501.631452860066
"522","sub-003",15,"Integrity","Concrete","Old",1,373.278711404497
"742","sub-003",16,"Trust","Concrete","New",1,360.553600162064
"852","sub-003",17,"Lamp","Concrete","Old",1,667.278000261849
"472","sub-003",18,"Dog","Abstract","New",0,763.902565739823
"462","sub-003",19,"Computer","Abstract","New",0,270.622051419622
"982","sub-003",20,"Beach","Concrete","Old",0,686.044671817124
"482","sub-003",21,"Beach","Abstract","Old",0,795.709395181398
"142","sub-003",22,"Humility","Abstract","Old",1,678.839300289768
"502","sub-003",23,"Apple","Abstract","Old",0,613.724974227194
"222","sub-003",24,"Respect","Abstract","New",1,853.239983773699
"792","sub-003",25,"Park","Concrete","Old",1,816.868331698638
"152","sub-003",26,"Friendship","Abstract","New",1,505.936951199183
"262","sub-003",27,"Road","Abstract","Old",1,652.891954133022
"752","sub-003",28,"Love","Concrete","Old",1,401.358663586685
"282","sub-003",29,"Table","Abstract","Old",1,815.204141780264
"782","sub-003",30,"Table","Concrete","Old",1,353.506483939537
"322","sub-003",31,"Train","Abstract","New",1,153.085471383337
"962","sub-003",32,"Computer","Concrete","New",0,490.770934336059
"642","sub-003",33,"Humility","Concrete","Old",1,129.004845236795
"212","sub-003",34,"Integrity","Abstract","Old",1,666.084279054614
"992","sub-003",35,"Tree","Concrete","New",0,431.655045779153
"952","sub-003",36,"Window","Concrete","Old",0,51.9254668410227
"242","sub-003",37,"Trust","Abstract","New",1,689.884386782814
"772","sub-003",38,"Camera","Concrete","New",1,503.010202077469
"612","sub-003",39,"Generosity","Abstract","Old",1,723.091927113433
"162","sub-003",40,"Creativity","Abstract","New",1,870.815215228392
"622","sub-003",41,"Knowledge","Concrete","Old",1,773.820463761344
"402","sub-003",42,"Phone","Abstract","New",1,716.139858409954
"602","sub-003",43,"Ambition","Concrete","Old",1,520.893698825037
"842","sub-003",44,"River","Concrete","Old",1,427.851824812925
"912","sub-003",45,"Bridge","Concrete","New",0,432.508365673434
"492","sub-003",46,"Tree","Abstract","New",0,557.948246958406
"312","sub-003",47,"Faith","Abstract","Old",1,560.981759162193
"102","sub-003",48,"Ambition","Abstract","Old",1,378.871844985593
"932","sub-003",49,"Boat","Concrete","New",0,583.895411611444
"913","sub-003",50,"Freedom","Abstract","Old",1,820.310987456606
"942","sub-003",51,"Mountain","Concrete","New",0,357.482297542558
"832","sub-003",52,"Chair","Concrete","Old",1,565.858613415313
"762","sub-003",53,"Road","Concrete","Old",1,722.350352152619
"202","sub-003",54,"Courage","Abstract","Old",1,651.733042939757
"702","sub-003",55,"Courage","Concrete","Old",1,646.62552792871
"872","sub-003",56,"Shoe","Concrete","Old",1,292.287251698286
"662","sub-003",57,"Creativity","Concrete","New",1,415.357643986822
"432","sub-003",58,"Boat","Abstract","New",1,308.750209406661
"313","sub-003",59,"House","Abstract","New",1,559.283945998825
"382","sub-003",60,"Hospital","Abstract","Old",1,527.548489761514
"292","sub-003",61,"Park","Abstract","Old",1,550.477756000939
"412","sub-003",62,"Justice","Abstract","Old",1,453.953714025929
"632","sub-003",63,"Success","Concrete","New",1,754.740119881403
"613","sub-003",64,"Honesty","Concrete","New",1,232.26935969579
"422","sub-003",65,"Car","Abstract","Old",1,531.682853633456
"652","sub-003",66,"Friendship","Concrete","New",1,393.186094697175
"232","sub-003",67,"Gratitude","Abstract","New",1,608.772658981201
"812","sub-003",68,"House","Concrete","New",1,715.987200118707
"302","sub-003",69,"Book","Abstract","Old",1,566.020233193739
"813","sub-003",70,"Compassion","Abstract","Old",1,328.563965634399
"902","sub-003",71,"Phone","Concrete","New",0,510.410391656848
"213","sub-003",72,"Determination","Abstract","New",1,730.381607868921
"532","sub-003",73,"Faith","Concrete","Old",1,302.599821837516
"332","sub-003",74,"Chair","Abstract","Old",1,361.436007482239
"1002","sub-003",75,"Apple","Concrete","Old",0,477.797304833373
"922","sub-003",76,"Car","Concrete","Old",0,431.361022724355
"672","sub-003",77,"Wisdom","Concrete","New",1,523.817180442268
"692","sub-003",78,"Loyalty","Concrete","New",1,414.760652607811
"352","sub-003",79,"Lamp","Abstract","Old",1,701.30575460377
"132","sub-003",80,"Success","Abstract","New",1,697.595940312066
"972","sub-003",81,"Dog","Concrete","New",0,662.588565812227
"112","sub-003",82,"Hope","Abstract","New",1,544.634845855538
"252","sub-003",83,"Love","Abstract","Old",1,431.77636878832
"562","sub-003",84,"Generosity","Concrete","Old",1,347.717280347023
"342","sub-003",85,"River","Abstract","Old",1,952.77161121116
"513","sub-003",86,"Hope","Concrete","New",1,758.405774491704
"113","sub-003",87,"Honesty","Abstract","New",1,563.112696185949
"552","sub-003",88,"Patience","Concrete","New",1,294.96331383428
"122","sub-003",89,"Knowledge","Abstract","Old",1,274.39896069024
"582","sub-003",90,"Compassion","Concrete","Old",1,301.29711653907
"172","sub-003",91,"Wisdom","Abstract","New",1,457.851508366773
"452","sub-003",92,"Window","Abstract","Old",0,661.755253245444
"682","sub-003",93,"Peace","Concrete","New",1,255.403279435525
"862","sub-003",94,"School","Concrete","Old",1,161.627050018338
"442","sub-003",95,"Mountain","Abstract","New",1,474.193264802978
"372","sub-003",96,"Shoe","Abstract","Old",1,528.296282074132
"392","sub-003",97,"Garden","Abstract","New",1,647.764382330591
"542","sub-003",98,"Justice","Concrete","Old",1,259.568588784179
"822","sub-003",99,"Train","Concrete","New",1,606.240208655316
"413","sub-003",100,"Bridge","Abstract","New",1,363.758875594494
