"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"2511","sub-012",1,"Love","Abstract","Old",1,303.198020481436
"8511","sub-012",2,"Shoe","Concrete","Old",1,430.645331500616
"9011","sub-012",3,"Boat","Concrete","Old",0,486.402385912636
"4011","sub-012",4,"Boat","Abstract","Old",1,838.795927579068
"4511","sub-012",5,"Beach","Abstract","New",1,641.777402068545
"7212","sub-012",6,"Loyalty","Concrete","Old",1,581.800991162106
"6011","sub-012",7,"Happiness","Concrete","Old",1,553.17204754155
"3611","sub-012",8,"Chair","Abstract","Old",1,521.649403815046
"3011","sub-012",9,"Tree","Abstract","Old",1,844.217750233157
"6611","sub-012",10,"Wisdom","Concrete","New",1,316.711036863612
"4411","sub-012",11,"Hospital","Abstract","Old",1,817.092493447973
"8213","sub-012",12,"Apple","Concrete","New",1,507.137081928739
"4212","sub-012",13,"Book","Abstract","New",1,701.381633893194
"9411","sub-012",14,"Hospital","Concrete","Old",0,753.546048345471
"5711","sub-012",15,"Compassion","Concrete","Old",1,515.968948820461
"9811","sub-012",16,"House","Concrete","Old",0,585.418794771802
"9213","sub-012",17,"Book","Concrete","New",0,459.810502837517
"4911","sub-012",18,"Train","Abstract","New",0,355.77154908766
"250","sub-012",19,"Gratitude","Abstract","Old",1,604.346998685211
"3811","sub-012",20,"Window","Abstract","Old",1,315.911727094876
"2811","sub-012",21,"Park","Abstract","New",1,462.389936580458
"6213","sub-012",22,"Peace","Concrete","New",1,432.696672290664
"8011","sub-012",23,"Tree","Concrete","Old",1,585.815840347305
"1811","sub-012",24,"Honesty","Abstract","Old",1,671.847279455924
"7311","sub-012",25,"Generosity","Concrete","New",1,856.17311984903
"4115","sub-012",26,"Garden","Abstract","Old",1,712.087021277841
"360","sub-012",27,"Ambition","Abstract","New",1,839.162812518554
"2411","sub-012",28,"Courage","Abstract","New",1,512.127093688007
"3511","sub-012",29,"Shoe","Abstract","Old",1,667.954385056661
"2711","sub-012",30,"Table","Abstract","New",1,457.282998188582
"560","sub-012",31,"Knowledge","Abstract","New",1,581.418627665363
"5811","sub-012",32,"Faith","Concrete","Old",1,534.180372249389
"7611","sub-012",33,"Car","Concrete","Old",1,391.535284188927
"1311","sub-012",34,"Friendship","Abstract","New",1,473.477900455845
"2611","sub-012",35,"Car","Abstract","Old",1,506.608136954557
"4611","sub-012",36,"Camera","Abstract","Old",1,337.489581058263
"9911","sub-012",37,"Train","Concrete","New",0,438.881957450237
"6411","sub-012",38,"Justice","Concrete","New",1,629.913834839837
"8411","sub-012",39,"Lamp","Concrete","New",1,593.505273612192
"850","sub-012",40,"Faith","Abstract","Old",1,442.128589733077
"3115","sub-012",41,"Computer","Abstract","Old",1,664.970612503543
"6711","sub-012",42,"Success","Concrete","Old",1,667.01001864534
"6511","sub-012",43,"Freedom","Concrete","New",1,583.458633426345
"5511","sub-012",44,"Knowledge","Concrete","New",1,280.551282676219
"7511","sub-012",45,"Love","Concrete","Old",1,611.660383933274
"1115","sub-012",46,"Hope","Abstract","New",1,1059.69717187881
"5611","sub-012",47,"Trust","Concrete","Old",1,744.910133303144
